Alpha,T1_Re1.000_M0.00_N9.0, , 
         14.1,    0.03773842, , 
         14.2,    0.03898865, , 
         14.3,    0.04032862, , 
         14.4,    0.04156808, , 
         14.5,    0.04282963, , 
         14.6,    0.04447034, , 
         14.7,    0.04635422, , 
         14.8,    0.04784933, , 
         14.9,    0.04930041, , 
           15,    0.05079391, , 
         15.1,     0.0523928, , 
         15.2,    0.05447397, , 
         15.3,    0.05738308, , 
         15.4,    0.05935052, , 
         15.5,    0.06127287, , 
         15.6,    0.06330839, , 
         15.7,    0.06562821, , 
         15.8,    0.07023066, , 
         15.9,    0.07266494, , 
           16,     0.0749566, , 
         16.1,    0.07731112, , 
         16.2,     0.0799133, , 
         16.3,    0.08573461, , 
         16.4,    0.08901207, , 
         16.5,    0.09177449, , 
         16.6,    0.09444005, , 
         16.7,    0.09716789, , 
         16.8,     0.1001433, , 
         16.9,     0.1054305, , 
           17,     0.1090013, , 
         17.1,     0.1124749, , 
         17.2,     0.1183975, , 
         17.3,     0.1219042, , 
         17.4,     0.1250672, , 
         17.5,     0.1283088, , 
         17.6,     0.1320478, , 
         17.7,     0.1395524, , 
         17.8,     0.1428058, , 
         17.9,     0.1458342, , 
           18,     0.1488575, , 
         18.1,     0.1524285, , 
         18.5,     0.1726815, , 
         18.7,     0.1771615, , 
         18.8,     0.1794341, , 
         18.9,     0.1818199, , 
           19,     0.1845032, , 
         19.1,     0.2057334, , 
         19.2,     0.2077919, , 
         19.3,     0.2097101, , 
         19.4,     0.2115383, , 
         19.5,     0.2133417, , 
         19.6,     0.2151324, , 
         19.7,      0.216925, , 
         19.8,     0.2187284, , 
         19.9,     0.2205502, , 
           20,     0.2224057, , 
         20.1,     0.2243185, , 
         20.2,     0.2263345, , 
         20.3,     0.2285792, , 
         20.5,     0.2443205, , 
           21,     0.2559096, , 
         21.3,     0.2743263, , 
         21.4,      0.276503, , 
         21.5,     0.2786424, , 
         21.6,     0.2807579, , 
         21.7,       0.28286, , 
