Alpha,T1_Re1.000_M0.00_N9.0, , 
           17,   -0.06220825, , 
         17.1,    -0.0637067, , 
         17.2,   -0.06651882, , 
         17.3,   -0.06809457, , 
         17.4,   -0.06951395, , 
         17.5,   -0.07099825, , 
         17.6,   -0.07275468, , 
         17.7,   -0.07651083, , 
         17.8,   -0.07811075, , 
         17.9,   -0.07960973, , 
           18,    -0.0811029, , 
         18.1,   -0.08290412, , 
         18.5,   -0.09366682, , 
         18.7,   -0.09604747, , 
         18.8,   -0.09726521, , 
         18.9,   -0.09854753, , 
           19,   -0.09998611, , 
         19.1,    -0.1117974, , 
         19.2,    -0.1130591, , 
         19.3,     -0.114221, , 
         19.4,    -0.1153168, , 
         19.5,    -0.1163924, , 
         19.6,    -0.1174549, , 
         19.7,    -0.1185118, , 
         19.8,    -0.1195676, , 
         19.9,    -0.1206267, , 
           20,    -0.1216962, , 
         20.1,    -0.1227872, , 
         20.2,    -0.1239203, , 
         20.3,    -0.1251515, , 
         20.5,    -0.1323374, , 
           21,    -0.1381322, , 
         21.3,    -0.1450921, , 
         21.4,      -0.14608, , 
         21.5,    -0.1470508, , 
         21.6,    -0.1480089, , 
         21.7,    -0.1489578, , 
         21.8,    -0.1499006, , 
         21.9,    -0.1508396, , 
           22,    -0.1517772, , 
         22.1,    -0.1527165, , 
         22.2,    -0.1536625, , 
         22.3,    -0.1546207, , 
         22.4,    -0.1555978, , 
         22.5,    -0.1566126, , 
         22.6,    -0.1577194, , 
         22.7,     -0.161733, , 
         22.8,     -0.162589, , 
         22.9,    -0.1634228, , 
           23,     -0.164242, , 
         23.1,    -0.1650484, , 
         23.2,    -0.1658436, , 
         23.3,    -0.1666287, , 
         23.4,    -0.1674046, , 
         23.5,    -0.1681721, , 
         23.6,    -0.1689314, , 
         23.7,    -0.1696831, , 
         23.8,    -0.1704273, , 
         23.9,    -0.1711644, , 
           24,    -0.1718946, , 
         24.1,    -0.1726178, , 
         24.2,    -0.1733343, , 
         24.3,    -0.1740438, , 
         24.4,    -0.1747462, , 
         24.5,    -0.1754409, , 
         24.6,    -0.1761278, , 
         24.7,    -0.1768069, , 
         24.8,    -0.1774775, , 
         24.9,    -0.1781385, , 
           25,     -0.178788, , 
         25.1,    -0.1794174, , 
         25.2,    -0.1797743, , 
         25.3,    -0.1802166, , 
         25.4,    -0.1807078, , 
         25.5,    -0.1811996, , 
         25.6,    -0.1816849, , 
         25.7,    -0.1821608, , 
         25.8,    -0.1826256, , 
         25.9,    -0.1830785, , 
           26,    -0.1835221, , 
         26.1,    -0.1839924, , 
         26.2,    -0.1844637, , 
         26.3,    -0.1848776, , 
         26.4,    -0.1852628, , 
         26.5,    -0.1856253, , 
         26.6,    -0.1859647, , 
         26.7,     -0.186278, , 
         26.8,    -0.1865613, , 
         26.9,    -0.1868093, , 
           27,    -0.1870153, , 
         27.1,    -0.1871701, , 
         27.2,    -0.1872612, , 
         27.3,    -0.1872699, , 
         27.4,    -0.1871659, , 
         27.5,    -0.1868941, , 
         27.6,    -0.1863287, , 
         27.7,     -0.184966, , 
         27.8,     -0.136151, , 
         27.9,    -0.1359276, , 
           28,    -0.1357289, , 
         28.1,    -0.1355532, , 
         28.2,    -0.1353989, , 
         28.3,    -0.1352644, , 
         28.4,    -0.1351482, , 
         28.5,    -0.1350492, , 
         28.6,    -0.1349662, , 
         28.7,    -0.1348983, , 
         28.8,    -0.1348446, , 
         28.9,    -0.1348043, , 
           29,    -0.1347766, , 
         29.1,    -0.1347609, , 
         29.2,    -0.1347565, , 
         29.3,    -0.1347628, , 
         29.4,    -0.1347868, , 
         29.5,    -0.1348303, , 
         29.6,    -0.1348814, , 
         29.7,    -0.1349397, , 
         29.8,    -0.1350046, , 
         29.9,    -0.1350759, , 
           30,    -0.1351533, , 

